epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.6029,2.06331,2.30723,2.10258,0.02036,0.25462,0.01207,0.00344,2.89211,20.1938,3.54784,0.000663399,0.000663399,0.000663399
2,168.928,2.19709,2.35638,2.19084,0.09148,0.10678,0.04304,0.01341,2.68108,4.81373,2.90279,0.0013169,0.0013169,0.0013169
3,255.219,2.16254,2.34985,2.17203,0.22903,0.29261,0.18193,0.05959,2.43267,2.84794,2.65832,0.0019572,0.0019572,0.0019572
4,342.57,2.10387,2.25754,2.11102,0.37596,0.33676,0.28985,0.09449,2.32237,3.13231,2.44808,0.0019406,0.0019406,0.0019406
5,433.951,2.06143,2.1394,2.07025,0.37565,0.35318,0.32659,0.11461,2.32371,2.41598,2.45552,0.0019208,0.0019208,0.0019208
6,525.329,2.01635,2.10699,2.00144,0.49753,0.39342,0.39778,0.15348,2.18239,2.0432,2.20798,0.001901,0.001901,0.001901
7,615.512,1.98514,2.03714,1.97959,0.46481,0.4692,0.4155,0.14568,2.16587,1.96404,2.18907,0.0018812,0.0018812,0.0018812
8,707.091,1.93493,1.94744,1.94256,0.49619,0.43784,0.44276,0.16273,2.23068,1.88232,2.2618,0.0018614,0.0018614,0.0018614
9,799.811,1.94049,1.89453,1.93979,0.54239,0.47433,0.48978,0.19134,2.14188,1.78955,2.1795,0.0018416,0.0018416,0.0018416
10,893.592,1.91549,1.90423,1.92225,0.50966,0.43967,0.43617,0.15828,2.21524,1.94067,2.26318,0.0018218,0.0018218,0.0018218
11,986.313,1.89803,1.8636,1.89981,0.55942,0.47947,0.50655,0.20799,2.02324,1.74626,2.04197,0.001802,0.001802,0.001802
12,1079.9,1.87081,1.86912,1.89111,0.5658,0.50411,0.52787,0.22203,2.04572,1.69053,2.08643,0.0017822,0.0017822,0.0017822
13,1172.8,1.85664,1.81632,1.87746,0.56104,0.48563,0.50186,0.21192,2.01956,1.76452,2.06707,0.0017624,0.0017624,0.0017624
14,1264.82,1.8648,1.79651,1.87336,0.56228,0.50308,0.52087,0.2238,2.03535,1.66349,2.06494,0.0017426,0.0017426,0.0017426
15,1356.66,1.84726,1.79821,1.86923,0.53363,0.52464,0.50581,0.21031,2.05403,1.73615,2.06782,0.0017228,0.0017228,0.0017228
16,1448.92,1.82741,1.74574,1.85117,0.54411,0.50411,0.54373,0.23495,1.97517,1.67276,2.03662,0.001703,0.001703,0.001703
17,1540.99,1.82832,1.75632,1.85617,0.55625,0.49806,0.50702,0.21694,2.04005,1.63304,2.06829,0.0016832,0.0016832,0.0016832
18,1640.08,1.83559,1.758,1.85779,0.60715,0.48665,0.5453,0.236,2.01226,1.61902,2.04028,0.0016634,0.0016634,0.0016634
19,1751.81,1.83798,1.72424,1.84262,0.56357,0.50821,0.50085,0.20164,2.05865,1.70677,2.12063,0.0016436,0.0016436,0.0016436
20,1867.08,1.83045,1.70844,1.86252,0.6211,0.4846,0.55644,0.23571,2.06607,1.59019,2.06726,0.0016238,0.0016238,0.0016238
21,1983.57,1.81652,1.69406,1.83714,0.56181,0.50547,0.51901,0.21306,2.03419,1.69246,2.05129,0.001604,0.001604,0.001604
22,2098.72,1.81011,1.67548,1.83382,0.55443,0.53901,0.56076,0.23819,2.00628,1.55329,2.06044,0.0015842,0.0015842,0.0015842
23,2218.1,1.7898,1.63899,1.83996,0.5751,0.55647,0.56414,0.24556,1.97008,1.54733,2.03349,0.0015644,0.0015644,0.0015644
24,2339.64,1.77347,1.62384,1.82914,0.62824,0.51877,0.56881,0.23729,2.03909,1.60688,2.10688,0.0015446,0.0015446,0.0015446
25,2460.95,1.76688,1.64868,1.8122,0.61408,0.51951,0.57529,0.25192,2.02023,1.55293,2.05307,0.0015248,0.0015248,0.0015248
26,2574.57,1.74452,1.60779,1.8031,0.62748,0.56879,0.6065,0.25406,1.98278,1.52222,2.03968,0.001505,0.001505,0.001505
27,2685.94,1.77406,1.60713,1.81059,0.65554,0.49692,0.57007,0.25327,2.00058,1.52818,2.02079,0.0014852,0.0014852,0.0014852
28,2796.15,1.7668,1.58944,1.81085,0.61295,0.56674,0.57363,0.24828,1.98291,1.52925,2.04061,0.0014654,0.0014654,0.0014654
29,2905.9,1.74871,1.57792,1.78924,0.55283,0.56057,0.55012,0.23053,2.04215,1.55154,2.08483,0.0014456,0.0014456,0.0014456
30,3016.09,1.70033,1.56853,1.7694,0.6014,0.56571,0.58867,0.2635,1.96931,1.46412,2.01624,0.0014258,0.0014258,0.0014258
31,3126.43,1.72199,1.53631,1.76925,0.6004,0.57495,0.5833,0.26028,1.98543,1.47034,2.01833,0.001406,0.001406,0.001406
32,3236.9,1.72083,1.53861,1.77704,0.66407,0.55441,0.60326,0.25749,2.02254,1.46266,2.08121,0.0013862,0.0013862,0.0013862
33,3347.66,1.70383,1.49149,1.74794,0.60207,0.6078,0.61813,0.28046,1.92446,1.43149,1.99135,0.0013664,0.0013664,0.0013664
34,3458.3,1.70636,1.50223,1.76394,0.60917,0.6037,0.62795,0.2705,2.00655,1.41745,2.01533,0.0013466,0.0013466,0.0013466
35,3568.19,1.70996,1.48214,1.75724,0.6346,0.56057,0.57522,0.245,1.99676,1.5059,2.05763,0.0013268,0.0013268,0.0013268
36,3679.72,1.70956,1.49732,1.75741,0.6437,0.61395,0.62216,0.26946,1.98528,1.44562,2.03715,0.001307,0.001307,0.001307
37,3790.61,1.68716,1.45174,1.76172,0.64536,0.58932,0.60009,0.26547,1.95489,1.43698,2.01801,0.0012872,0.0012872,0.0012872
38,3908.35,1.67372,1.45358,1.74336,0.64402,0.57906,0.62027,0.27391,1.96071,1.40729,2.02959,0.0012674,0.0012674,0.0012674
39,4026.48,1.68172,1.47211,1.7534,0.63041,0.59446,0.6013,0.27075,1.9435,1.46784,1.99946,0.0012476,0.0012476,0.0012476
40,4140.67,1.67719,1.47549,1.76423,0.6218,0.60678,0.62318,0.27803,1.96822,1.39121,2.02102,0.0012278,0.0012278,0.0012278
41,4253.77,1.66974,1.4324,1.73436,0.62201,0.61088,0.61509,0.28038,1.94762,1.42819,2.02711,0.001208,0.001208,0.001208
42,4374.45,1.65469,1.43616,1.73519,0.68898,0.61191,0.64859,0.279,1.95303,1.37434,2.00964,0.0011882,0.0011882,0.0011882
43,4496.34,1.65589,1.41858,1.73988,0.67026,0.53799,0.60117,0.2657,1.95877,1.47108,2.03515,0.0011684,0.0011684,0.0011684
44,4616.95,1.66646,1.41603,1.74456,0.64649,0.60647,0.61888,0.27492,1.98601,1.41082,2.04042,0.0011486,0.0011486,0.0011486
45,4737.16,1.64702,1.40246,1.72192,0.63158,0.60194,0.6152,0.27539,1.94096,1.41932,2.01525,0.0011288,0.0011288,0.0011288
46,4856.24,1.6521,1.39944,1.73061,0.69431,0.58298,0.62155,0.28157,1.93824,1.38875,2.00698,0.001109,0.001109,0.001109
47,4973.68,1.65835,1.37904,1.71817,0.65438,0.60066,0.63258,0.2803,1.97767,1.354,2.03533,0.0010892,0.0010892,0.0010892
48,5092.16,1.63329,1.41118,1.71651,0.6518,0.577,0.60805,0.27223,1.95022,1.43089,2.02355,0.0010694,0.0010694,0.0010694
49,5210.97,1.63059,1.37753,1.72159,0.6955,0.60035,0.64342,0.28411,1.94806,1.36705,2.00716,0.0010496,0.0010496,0.0010496
50,5333.12,1.6409,1.38199,1.72118,0.66403,0.62423,0.64309,0.29505,1.89781,1.32595,1.97817,0.0010298,0.0010298,0.0010298
51,5453.83,1.61876,1.3547,1.69828,0.69942,0.61294,0.64128,0.28345,1.97993,1.34537,2.04753,0.00101,0.00101,0.00101
52,5575.76,1.61501,1.33333,1.69563,0.68588,0.5924,0.65233,0.28968,1.91435,1.35078,1.99646,0.0009902,0.0009902,0.0009902
53,5695.7,1.60567,1.36108,1.70068,0.68449,0.59343,0.64917,0.29862,1.9137,1.34431,2.00424,0.0009704,0.0009704,0.0009704
54,5813.85,1.61168,1.35026,1.70099,0.71031,0.59343,0.64412,0.27875,1.94573,1.34548,2.031,0.0009506,0.0009506,0.0009506
55,5926.54,1.60058,1.31636,1.69452,0.70671,0.59446,0.64715,0.29806,1.92675,1.32604,2.00626,0.0009308,0.0009308,0.0009308
56,6039.57,1.56987,1.30947,1.6811,0.69652,0.63151,0.66471,0.296,1.93443,1.31914,2.01451,0.000911,0.000911,0.000911
57,6153.7,1.58397,1.29426,1.69035,0.69076,0.6386,0.66428,0.29303,1.94053,1.31793,2.02097,0.0008912,0.0008912,0.0008912
58,6265.31,1.57674,1.29676,1.68026,0.70836,0.62115,0.66954,0.30027,1.93189,1.31636,1.9998,0.0008714,0.0008714,0.0008714
59,6377.61,1.5648,1.28501,1.67853,0.68694,0.6078,0.64135,0.29668,1.92728,1.32975,2.0093,0.0008516,0.0008516,0.0008516
60,6489.69,1.57891,1.26396,1.66928,0.69419,0.64374,0.66446,0.29251,1.95306,1.31739,2.01191,0.0008318,0.0008318,0.0008318
